                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4715,                 2.0533,                  1.925,                0.89566,                0.59259,                0.77853,                0.49607,                  1.299,                 1.4045,                 1.8584,                 0.0811,                 0.0021,                 0.0021
                      1,                 1.2918,                 1.2815,                 1.7293,                 0.8238,                0.69277,                0.78889,                0.52356,                  1.246,                 1.1413,                   1.76,               0.061257,              0.0042574,              0.0042574
                      2,                 1.0973,                  1.053,                 1.5207,                0.83086,                0.61111,                0.74492,                0.45735,                 1.4378,                 1.1821,                 1.9273,               0.041371,              0.0063713,              0.0063713
                      3,                 1.0825,                0.99764,                 1.4975,                0.85694,                0.59259,                0.75319,                0.48669,                 1.4075,                 1.2515,                 1.9021,               0.021442,              0.0084416,              0.0084416
                      4,                 1.0173,                 1.0503,                 1.4306,                0.69544,                0.72222,                0.71297,                 0.4243,                 1.5672,                 2.1479,                 2.1592,               0.009604,               0.009604,               0.009604
                      5,                 1.0629,                0.93499,                 1.4667,                0.74558,                0.66667,                  0.723,                0.44576,                 1.4609,                 1.8248,                 1.9643,               0.009604,               0.009604,               0.009604
                      6,                 1.0804,                0.84964,                 1.4526,                0.81687,                0.61111,                 0.6841,                0.39644,                 1.5649,                 1.5263,                 2.0672,               0.009505,               0.009505,               0.009505
                      7,                 1.0401,                0.86261,                 1.4159,                0.70502,                0.59259,                0.66533,                 0.3821,                 1.6726,                 1.6015,                 2.3171,               0.009406,               0.009406,               0.009406
                      8,                 1.0815,                0.82305,                 1.4321,                0.77839,                    0.5,                0.55566,                0.33676,                 1.6586,                 1.6535,                 2.1503,               0.009307,               0.009307,               0.009307
                      9,                 1.0453,                0.81656,                 1.4175,                0.78619,                0.47677,                0.58837,                 0.3796,                 1.7023,                 1.4242,                 2.3246,               0.009208,               0.009208,               0.009208
                     10,                0.97227,                0.77049,                 1.3993,                0.75902,                0.48148,                0.54992,                0.36708,                 1.6124,                 1.5084,                 2.2996,               0.009109,               0.009109,               0.009109
                     11,                0.97664,                0.72332,                 1.4114,                0.69757,                0.68519,                0.70434,                0.45886,                 1.4253,                 1.1643,                 2.0728,                0.00901,                0.00901,                0.00901
                     12,                0.98473,                0.74921,                 1.3997,                0.71613,                0.53704,                   0.65,                0.44003,                 1.4639,                 1.3933,                 2.0181,               0.008911,               0.008911,               0.008911
                     13,                0.94884,                0.70314,                 1.3773,                0.82319,                0.60363,                0.71968,                0.44296,                  1.524,                 1.2819,                  2.005,               0.008812,               0.008812,               0.008812
                     14,                 0.9271,                0.70476,                 1.3603,                0.91528,                0.66667,                0.79486,                0.50843,                 1.3826,                 1.1683,                 1.9529,               0.008713,               0.008713,               0.008713
                     15,                0.88103,                0.65487,                 1.3005,                0.87666,                0.68519,                0.71938,                0.45911,                 1.5663,                 1.0698,                 2.2493,               0.008614,               0.008614,               0.008614
                     16,                0.92206,                0.66418,                 1.3423,                0.90056,                 0.7037,                0.81022,                0.52622,                 1.3451,                0.88214,                  1.934,               0.008515,               0.008515,               0.008515
                     17,                0.91701,                0.69244,                 1.3673,                0.84189,                0.72222,                0.81022,                0.52828,                 1.4133,                0.88176,                 1.9829,               0.008416,               0.008416,               0.008416
                     18,                0.91903,                0.68564,                 1.3414,                0.92233,                0.64815,                 0.8342,                0.52504,                  1.366,                 0.8273,                 1.9535,               0.008317,               0.008317,               0.008317
                     19,                0.86757,                0.62126,                 1.2857,                0.81796,                0.68519,                  0.803,                0.49297,                 1.4768,                0.98645,                 2.0413,               0.008218,               0.008218,               0.008218
                     20,                0.83583,                0.64129,                 1.2727,                0.82651,                0.72222,                0.83542,                0.52253,                 1.4175,                0.89953,                 1.9524,               0.008119,               0.008119,               0.008119
                     21,                0.81197,                0.59723,                 1.2459,                0.80641,                0.69435,                0.76263,                0.51125,                 1.4113,                0.95762,                 2.0796,                0.00802,                0.00802,                0.00802
                     22,                0.85958,                0.61917,                 1.2907,                0.87575,                0.68519,                0.81069,                0.53339,                 1.3533,                0.88858,                 2.0332,               0.007921,               0.007921,               0.007921
                     23,                0.85945,                0.61778,                 1.2806,                0.87551,                 0.7037,                0.78337,                 0.5178,                 1.4226,                0.91619,                 2.1411,               0.007822,               0.007822,               0.007822
                     24,                0.81404,                0.57828,                 1.2671,                0.78907,                0.69284,                0.75428,                0.49181,                 1.3887,                 1.0178,                 2.0352,               0.007723,               0.007723,               0.007723
                     25,                0.80719,                0.57572,                 1.2503,                0.84825,                0.72465,                0.79682,                0.51063,                 1.3613,                0.93394,                 1.9771,               0.007624,               0.007624,               0.007624
                     26,                0.78317,                0.57885,                 1.2368,                0.88391,                0.70502,                0.83768,                0.55211,                 1.3289,                0.83185,                 1.9891,               0.007525,               0.007525,               0.007525
                     27,                0.79317,                0.56923,                  1.235,                0.97341,                0.67806,                0.79891,                0.54645,                 1.3135,                0.86507,                 1.9148,               0.007426,               0.007426,               0.007426
                     28,                0.77655,                 0.5665,                 1.2207,                0.97094,                0.64815,                0.78072,                0.51164,                 1.3901,                0.91284,                 1.9949,               0.007327,               0.007327,               0.007327
                     29,                0.77034,                 0.5529,                 1.2222,                0.85205,                0.68519,                  0.752,                0.51112,                 1.3455,                0.95064,                 2.0421,               0.007228,               0.007228,               0.007228
                     30,                0.74684,                0.51817,                 1.2195,                0.88063,                0.72222,                 0.7814,                0.51065,                 1.3686,                 1.1759,                 2.0507,               0.007129,               0.007129,               0.007129
                     31,                0.72909,                0.53352,                 1.2161,                0.85705,                0.77719,                0.85753,                0.57136,                 1.3329,                0.82943,                 1.9156,                0.00703,                0.00703,                0.00703
                     32,                 0.7454,                0.52247,                 1.2101,                0.82089,                0.76393,                0.86384,                0.56375,                 1.3242,                0.76234,                 1.9706,               0.006931,               0.006931,               0.006931
                     33,                0.72446,                0.53558,                 1.2188,                0.97156,                0.75926,                0.89913,                0.60477,                   1.23,                 0.6366,                 1.8976,               0.006832,               0.006832,               0.006832
                     34,                0.67243,                0.47875,                 1.1726,                  0.879,                0.80728,                0.86304,                0.55441,                 1.3226,                0.67911,                 2.0612,               0.006733,               0.006733,               0.006733
                     35,                0.67812,                0.49001,                 1.1872,                0.85197,                0.77778,                0.84909,                 0.5605,                 1.3149,                0.80492,                   1.96,               0.006634,               0.006634,               0.006634
                     36,                0.72081,                0.50561,                 1.2027,                0.87355,                0.76769,                0.81821,                0.52157,                 1.3716,                0.86616,                 1.9868,               0.006535,               0.006535,               0.006535
                     37,                0.68836,                0.50117,                 1.1524,                 0.8498,                0.77778,                0.85889,                0.54834,                 1.3434,                 0.7499,                 1.9939,               0.006436,               0.006436,               0.006436
                     38,                0.68266,                0.49456,                 1.1551,                0.93002,                0.73836,                0.84983,                0.55733,                 1.4076,                0.78241,                 2.0526,               0.006337,               0.006337,               0.006337
                     39,                0.68597,                0.48976,                 1.1467,                0.86908,                0.74074,                0.83838,                0.57679,                 1.3264,                0.77259,                 1.9465,               0.006238,               0.006238,               0.006238
                     40,                0.62644,                 0.4625,                 1.1398,                0.86603,                0.74074,                0.84956,                0.54846,                 1.3885,                0.86449,                 2.0174,               0.006139,               0.006139,               0.006139
                     41,                 0.6688,                0.47893,                 1.1718,                0.84375,                0.70006,                0.82921,                0.54032,                 1.2956,                0.89357,                 1.9443,                0.00604,                0.00604,                0.00604
                     42,                 0.6376,                0.47136,                 1.1341,                0.88258,                0.68519,                0.74738,                0.50468,                 1.4167,                0.93269,                 2.0713,               0.005941,               0.005941,               0.005941
                     43,                0.64005,                0.44818,                 1.1476,                0.91017,                 0.7037,                0.81325,                0.53024,                 1.3914,                0.79735,                 2.0738,               0.005842,               0.005842,               0.005842
